data,ticker,fechamento,quantidade,volume
2024-01-05,HAPV3,4.27,50722200,215739924.0
2024-01-05,HYPE3,35.23,1905500,67092301.0
2024-01-05,IGTI11,24.39,2957500,71816554.0
2024-01-05,IRBR3,40.92,1740000,72034259.0
2024-01-05,ITSA4,10.23,27054600,275231516.0
2024-01-05,ITUB4,33.7,27726400,928003225.0
2024-01-05,JBSS3,24.07,4090300,98425983.0
2024-01-05,JHSF3,5.08,2483100,12643902.0
2024-01-05,KLBN11,22.13,2731200,60095222.0
2024-01-05,LOGG3,21.44,1062000,22324065.0
2024-01-05,LREN3,16.64,12798400,212243410.0
2024-01-05,LWSA3,5.6,10571400,59361083.0
2024-01-05,MGLU3,1.97,143307000,286213672.0
2024-01-05,MRFG3,9.47,4654600,44003093.0
2024-01-05,MRVE3,9.86,16217100,161877283.0
2024-01-05,MULT3,27.93,1516100,42274780.0
2024-01-05,NTCO3,16.31,4826500,78950706.0
2024-01-05,PCAR3,4.1,17015100,72127936.0
2024-01-05,PETR3,40.39,6858500,276769294.0
2024-01-05,PETR4,38.72,35783700,1388296899.0
2024-01-05,PETZ3,3.73,8829300,33035901.0
2024-01-05,POMO4,7.36,5805400,42819086.0
2024-01-05,PRIO3,46.08,9965800,460005581.0
2024-01-05,PSSA3,28.56,908100,25900676.0
2024-01-05,QUAL3,3.28,4555500,14891969.0
2024-01-05,RADL3,29.5,3257700,95730865.0
2024-01-05,RAIL3,22.65,16550600,370415415.0
2024-01-05,RAIZ4,4.04,11373500,45973536.0
2024-01-05,RDOR3,28.0,3809300,106911905.0
2024-01-05,RECV3,21.1,1586400,33344855.0
2024-01-05,RENT3,60.5,7448200,450108482.0
2024-01-05,RRRP3,26.15,3417300,89492606.0
2024-01-05,SANB11,32.13,990000,31721324.0
2024-01-05,SBSP3,72.35,1336400,96812005.0
2024-01-05,SLCE3,18.52,1683600,31104313.0
2024-01-05,SMFT3,25.01,1838900,46090880.0
2024-01-05,SMTO3,28.4,1711700,48668758.0
2024-01-05,SOMA3,7.8,16148400,123051936.0
2024-01-05,STBP3,9.36,4116600,38608010.0
2024-01-05,SUZB3,54.05,2229700,120519853.0
2024-01-05,TAEE11,37.6,1059100,39774987.0
2024-01-05,TEND3,11.63,5524200,64418495.0
2024-01-05,TIMS3,17.2,3576800,61678906.0
2024-01-05,TOTS3,32.28,2165900,69733828.0
2024-01-05,TRPL4,26.16,4010800,106381586.0
2024-01-05,UGPA3,27.1,4852400,131035355.0
2024-01-05,USIM5,8.92,10458400,92867503.0
2024-01-05,VALE3,74.65,21082500,1572477216.0
2024-01-05,VAMO3,9.82,4093900,39945899.0
2024-01-05,VBBR3,22.83,8391300,190275522.0
2024-01-05,VIVA3,33.69,1735400,58685308.0
2024-01-05,VIVT3,50.48,2693800,135706322.0
2024-01-05,WEGE3,35.97,9274700,333198475.0
2024-01-05,YDUQ3,20.8,3670500,77643504.0
2024-01-08,ABEV3,13.71,11014600,150932381.0
2024-01-08,ALOS3,25.52,10160400,258018692.0
2024-01-08,ALPA4,9.69,3871600,37562925.0
2024-01-08,AMER3,0.87,33350800,29077807.0
2024-01-08,ARZZ3,63.98,2261100,142796413.0
2024-01-08,ASAI3,14.17,17538900,245941790.0
2024-01-08,AURE3,13.52,3738800,50548038.0
2024-01-08,AZUL4,14.89,19427700,283413369.0
2024-01-08,B3SA3,14.28,27469900,389951306.0
2024-01-08,BBAS3,55.35,9053800,499596005.0
2024-01-08,BBDC3,15.1,2185700,33008264.0
2024-01-08,BBDC4,16.75,21044300,354002384.0
2024-01-08,BBSE3,33.52,3455700,116139883.0
2024-01-08,BEEF3,7.14,8735400,62350556.0
2024-01-08,BHIA3,11.1,3271900,35553862.0
2024-01-08,BPAC11,37.91,7777700,291632706.0
2024-01-08,BPAN4,8.51,1901800,16130841.0
2024-01-08,BRAP4,24.76,1993300,49149668.0
2024-01-08,BRFS3,12.7,8423800,106914778.0
2024-01-08,BRKM5,20.51,2128200,43457571.0
2024-01-08,CASH3,7.67,1437800,11093361.0
2024-01-08,CCRO3,13.99,5943500,82973800.0
2024-01-08,CEAB3,7.6,1641700,12283080.0
2024-01-08,CIEL3,4.97,22322900,110741732.0
2024-01-08,CMIG4,11.75,11959800,139978479.0
2024-01-08,CMIN3,7.75,6873500,53312411.0
2024-01-08,COGN3,3.37,15626600,52681568.0
2024-01-08,CPFE3,38.0,1984900,75607192.0
2024-01-08,CPLE3,9.17,7289600,66620093.0
2024-01-08,CPLE6,10.05,14358600,144190177.0
2024-01-08,CRFB3,11.95,11337800,135233650.0
2024-01-08,CSAN3,19.52,6728300,130474791.0
2024-01-08,CSMG3,21.07,756200,15810908.0
2024-01-08,CSNA3,19.25,3769100,72430701.0
2024-01-08,CURY3,17.73,1463600,25856883.0
2024-01-08,CVCB3,3.32,14131000,46187654.0
2024-01-08,CXSE3,13.01,1669000,21723316.0
2024-01-08,CYRE3,22.78,4880200,110415934.0
2024-01-08,DIRR3,21.65,1188500,25545728.0
2024-01-08,DXCO3,8.08,3931800,31443855.0
2024-01-08,ECOR3,9.35,1868400,17409382.0
2024-01-08,EGIE3,43.98,1038900,45899997.0
2024-01-08,ELET3,41.06,3643100,149650286.0
2024-01-08,ELET6,45.69,657500,30054187.0
2024-01-08,EMBR3,21.68,4722900,102162648.0
2024-01-08,ENEV3,13.52,10494200,142468547.0
2024-01-08,ENGI11,53.6,5064400,267554808.0
2024-01-08,EQTL3,34.7,15471500,536215283.0
2024-01-08,EZTC3,17.01,1851600,31412703.0
2024-01-08,FLRY3,17.64,1667000,29313982.0
2024-01-08,GGBR4,23.36,8279200,193629588.0
2024-01-08,GOAU4,10.69,6204500,66296514.0
2024-01-08,GOLL4,8.23,7744400,63773736.0
2024-01-08,HAPV3,4.43,40303500,178519964.0
2024-01-08,HYPE3,36.23,2257200,81332718.0
2024-01-08,IGTI11,24.49,2011000,49190416.0
2024-01-08,IRBR3,42.18,1500200,62821855.0
2024-01-08,ITSA4,10.16,15826100,161194019.0
2024-01-08,ITUB4,33.34,11810700,394687870.0
2024-01-08,JBSS3,23.94,3050400,73219695.0
2024-01-08,JHSF3,5.15,1711500,8748096.0
2024-01-08,KLBN11,22.4,3388800,75361596.0
2024-01-08,LOGG3,21.75,344900,7467885.0
2024-01-08,LREN3,17.28,15607500,266405210.0
2024-01-08,LWSA3,5.8,8121100,46265603.0
2024-01-08,MGLU3,2.09,137606300,279302150.0
2024-01-08,MRFG3,9.5,3323600,31582537.0
2024-01-08,MRVE3,10.05,17698600,176391467.0
2024-01-08,MULT3,28.18,2407000,67308664.0
2024-01-08,NTCO3,16.45,10023400,165116601.0
2024-01-08,PCAR3,4.09,10433400,43381182.0
2024-01-08,PETR3,39.64,9800700,386837568.0
2024-01-08,PETR4,38.43,35158100,1336206062.0
2024-01-08,PETZ3,3.86,10396000,39996460.0
2024-01-08,POMO4,7.59,8781800,66208330.0
2024-01-08,PRIO3,45.75,9674200,436280712.0
2024-01-08,PSSA3,28.63,831900,23781358.0
2024-01-08,QUAL3,3.32,2662100,8823977.0
2024-01-08,RADL3,29.17,4429500,130071881.0
2024-01-08,RAIL3,23.64,10537300,246649665.0
2024-01-08,RAIZ4,4.05,8738900,35256023.0
2024-01-08,RDOR3,28.88,4818600,138807846.0
2024-01-08,RECV3,20.95,2600100,54020782.0
2024-01-08,RENT3,62.8,5556800,345303491.0
2024-01-08,RRRP3,27.37,13105900,350869597.0
2024-01-08,SANB11,31.92,1248400,39982806.0
2024-01-08,SBSP3,73.26,1272800,92625800.0
2024-01-08,SLCE3,18.36,1749600,32216291.0
2024-01-08,SMFT3,25.94,2981000,77319690.0
