data,ticker,fechamento
2019-01-11,TEND3,33.85
2019-01-11,TIMP3,12.46
2019-01-11,TOTS3,30.19
2019-01-11,TRPL4,75.01
2019-01-11,UGPA3,53.19
2019-01-11,USIM5,10.18
2019-01-11,VALE3,52.38
2019-01-11,VIVT3,40.45
2019-01-11,VIVT4,47.8
2019-01-11,VVAR3,4.51
2019-01-11,WEGE3,18.69
2019-01-14,ABEV3,17.54
2019-01-14,ALPA4,19.0
2019-01-14,ARZZ3,52.05
2019-01-14,AZUL4,37.47
2019-01-14,B3SA3,29.51
2019-01-14,BBAS3,49.83
2019-01-14,BBDC3,37.16
2019-01-14,BBDC4,41.99
2019-01-14,BBSE3,28.0
2019-01-14,BEEF3,5.44
2019-01-14,BIDI4,40.6
2019-01-14,BPAC11,25.64
2019-01-14,BPAN4,2.03
2019-01-14,BRAP4,32.71
2019-01-14,BRDT3,26.3
2019-01-14,BRFS3,22.67
2019-01-14,BRKM5,48.28
2019-01-14,BRML3,13.3
2019-01-14,BTOW3,45.6
2019-01-14,CCRO3,14.0
2019-01-14,CIEL3,10.9
2019-01-14,CMIG4,13.94
2019-01-14,CPFE3,28.11
2019-01-14,CPLE3,31.65
2019-01-14,CPLE6,34.2
2019-01-14,CRFB3,19.57
2019-01-14,CSAN3,39.2
2019-01-14,CSMG3,64.95
2019-01-14,CSNA3,9.77
2019-01-14,CVCB3,59.01
2019-01-14,CYRE3,16.85
2019-01-14,DIRR3,8.5
2019-01-14,ECOR3,10.71
2019-01-14,EGIE3,37.31
2019-01-14,ELET3,30.94
2019-01-14,ELET6,34.09
2019-01-14,EMBR3,21.62
2019-01-14,ENBR3,14.96
2019-01-14,ENEV3,17.55
2019-01-14,ENGI11,39.2
2019-01-14,EQTL3,83.21
2019-01-14,ESTC3,28.6
2019-01-14,EZTC3,25.59
2019-01-14,FLRY3,22.2
